Topic,Statement,Link,Date
Buy AU Small Finance Bank: target of Rs 1500: Sharekhan,Sharekhan is bullish on AU Small Finance Bank has recommended buy rating on the stock with a target price of Rs 1500 in its research report dated March 10^ 2021.,https://www.moneycontrol.com/news/business/stocks/buy-au-small-finance-bank-target-of-rs-1500-sharekhan-6636171.html,March 12^ 2021 08:47 AM IST
Buy UltraTech Cement: target of Rs 8000: Sharekhan,Sharekhan is bullish on UltraTech Cement has recommended buy rating on the stock with a target price of Rs 8000 in its research report dated March 10^ 2021.,https://www.moneycontrol.com/news/business/stocks/buy-ultratech-cement-target-of-rs-8000-sharekhan-6636021.html,March 12^ 2021 08:38 AM IST
Subscribe to Anupam Rasayan India: Angel Broking,Angel Broking has come out with its report on Anupam Rasayan India. The research firm has recommended to ''Subscribe'' the ipo in its research report as on March 10^ 2021.,https://www.moneycontrol.com/news/business/stocks/subscribe-to-anupam-rasayan-india-angel-broking-6635831.html,March 12^ 2021 08:22 AM IST
Trade Spotlight: What should investors do with Graphite India^ MTNL and Magma Fincorp?,Here's what Shrikant Chouhan^ Executive Vice President Equity Technical Research at Kotak Securities^ recommends investors should do with these stocks when the market resumes trading on March 12:,https://www.moneycontrol.com/news/business/markets/trade-spotlight-what-should-investors-do-with-graphite-india-mtnl-and-magma-fincorp-6630861.html,March 12^ 2021 08:14 AM IST
Subscribe to Anupam Rasayan India: Choice Equity Broking,Choice Equity Broking has come out with its report on Anupam Rasayan India. The research firm has recommended to ''Subscribe'' the ipo in its research report as on March 11^ 2021.,https://www.moneycontrol.com/news/business/stocks/subscribe-to-anupam-rasayan-india-choice-equity-broking-6635821.html,March 12^ 2021 08:06 AM IST
Adani Power stock is up 181% in FY21; is it still a buy?,Considering the fact that the stock has not been able to make a fresh peak in the last 10 years^ investors seem to be uncertain whether the stock will be able to hold recent gains or not.,https://www.moneycontrol.com/news/business/markets/adani-power-stock-is-up-181-in-fy21-is-it-still-a-buy-6627991.html,March 11^ 2021 12:24 PM IST
Difficult to time entry & exit^ but time to hedge is now: Siddarth Bhamre,It’s difficult to make accurate entry and exit in the market but hedging your portfolio at an appropriate time is quite manageable. Now is the time.,https://www.moneycontrol.com/news/business/markets/difficult-to-time-entry-exit-but-time-to-hedge-is-now-siddarth-bhamre-6631331.html,March 11^ 2021 11:16 AM IST
These 10 stocks are likely to give 11-47% return in mid-long term,Gujarat State Petronet^ Wipro^ Indian Energy Exchange^ Jamna Auto Industries and CSB Bank are among the stocks that brokerages are bullish on.,https://www.moneycontrol.com/news/photos/business/stocks/these-10-stock-are-likely-to-give-11-47-return-in-mid-long-term-6628531.html,March 11^ 2021 09:28 AM IST
DAILY VOICE | IEX^ Varun Beverages among 6 dark horses for FY22: Ajay Menon of MOFSL,"While we are positive on the mid & small-cap space^ we don’t believe that there would be a broad-based outperformance. One needs to be very selective within and look for high-quality management with strong business growth drivers^" said the CEO^ Broking and Distribution at Motilal Oswal Financial Services.,https://www.moneycontrol.com/news/business/markets/daily-voice-iex-varun-beverages-among-6-dark-horses-for-fy22-ajay-menon-of-mofsl-6628091.html,March 11^ 2021 09:23 AM IST
Ideas For Profit | Grab Associated Alcohol stock as it comes at a bargain,Associated Alcohols & Breweries (AABL)^ the liquor contract manufacturer^ is back on track buoyed by improved demand condition^ AABL saw healthy performance across all its business verticals in the quarter gone by. So^ is the stock worth a sip? Watch this edition of Ideas For Profit to find out,https://www.moneycontrol.com/news/business/stocks/ideas-for-profit-grab-associated-alcohol-stock-as-it-comes-at-a-bargain-6630251.html,March 10^ 2021 06:04 PM IST
